number,date,place,claim,infact,slug,repeat,source,category1,category2,category3,category4,placecategory,10mostcommon,count,quote,lastupdated
1143,2-12-2018,Remarks at meeting with state and local officials on infrastructure plan,"""But NAFTA has been -- we lose a tremendous amount of money, at least $71 billion a year with Mexico.""","This frequent Trump claim has become more correct in recent weeks: the U.S.'s trade deficit in goods specifically was $71 billion in 2017, we have learned, up from $64 billion in 2016. However, Trump did not specify that he was talking about goods alone. Leaving aside his disputed characterization of a trade deficit as ""losing"" money, the trade balance includes trade in services as well as goods. Services trade, for which 2017 data was not immediately available, always brings down the U.S. deficit with Mexico by billions. In 2016, the U.S. had a services surplus of $8 billion with Mexico.",Mexico deficit,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-state-local-officials-infrastructure-initiative/,Mexico,Trade,Exaggeration,NAFTA,Informal remarks at events,,,,
1142,2-12-2018,Remarks at meeting with state and local officials on infrastructure plan,"""But NAFTA...We lose a lot of money with Canada.""","Leaving aside his disputed characterization of a trade deficit as ""losing"" money: when services trade is included, the U.S. has a substantial trade surplus with Canada. In 2016, according to the U.S. government's Office of the Trade Representative, ""the U.S. goods and services trade surplus with Canada was $12.5 billion in 2016."" While the U.S. trade deficit with Canada in goods alone grew larger in 2017, going from $11 billion to $17.6 billion, services trade, for which 2017 data was not immediately available, almost certainly continued to give the U.S. a substantial positive sum.",Canada deficit,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-state-local-officials-infrastructure-initiative/,Canada,Trade,NAFTA,Exaggeration,Informal remarks at events,,,,
1141,2-11-2018,Twitter,"""Same negative stories over and over again! No wonder the People no longer trust the media, whose approval ratings are correctly at their lowest levels in history!""","There was data to support this claim about trust in media in 2016, but no longer: trust has increased in the Trump era. In September 2016, the Gallup polling firm found that just 32 per cent of Americans said they had ""a great deal or fair amount of trust in the media,"" the lowest level since Gallup began asking the question in 1972. But in September 2017, Gallup found a nine-point increase from this historic low: the new figure was 41 per cent, one point higher than in 2012 and 2015. Other polling firms have also shown increases during Trump's presidency from the lows of 2016. A Reuters/Ipsos poll conducted during three periods of 2017 found that the percentage of people who had confidence in the press rose from 39 per cent in November 2016 to 48 per cent in September 2017.",Lowest trust in media,no,https://twitter.com/realDonaldTrump/status/962753552824365056,Media,,,,Twitter,,,,
1140,2-10-2018,Twitter,"""Republicans want to fix DACA far more than the Democrats do.""","This is transparently inaccurate. DACA, which stands for Deferred Action for Childhood Arrivals, was created by a Democrat, Obama, to provide work authorization and protection from deportation for ""DREAMers,"" unauthorized immigrants who were brought to the U.S. as children. Trump, a Republican, cancelled the program. Democrats are now urging him to simply re-protect DACA enrollees without conditions. Conversely, Trump and other Republicans are demanding steep concessions -- billions of dollars for a border wall, a reduction of one third or more in legal immigration -- in exchange for protecting DACA enrollees, and some conservative Republicans continue to deride any permanent protection for enrollees as ""amnesty."" In short: Trump is free to argue, as some DREAMers are, that Democrats are not fighting hard enough for DACA enrollees, but there is no reasonable argument that Republicans are trying harder than Democrats.",Republicans want DACA more,Yes,https://twitter.com/realDonaldTrump/status/962398269593784321,Immigration,Democrats,,,Twitter,,,,
1139,2-10-2018,Twitter,"""The Dems had all three branches of government back in 2008-2011, and they decided not to do anything about DACA.""","We checked the ""Dems had all three branches of government back in 2008-2011"" in a separate fact check. There are two things wrong about the second part of this sentence: ""They decided not to do anything about DACA."" First: DACA, Obama's Deferred Action for Childhood Arrivals program, protecting ""DREAMer"" unauthorized immigrants, did not exist until 2012, so Democrats could not have ""decided not to do anything about DACA"" between 2008 and 2011. Second: if Trump is simply claiming that Democrats decided not to do anything to protect DREAMers while they controlled Congress in 2009 and 2010, that is also false. In 2010, the Democratic-controlled House of Representatives passed the DREAM Act, which would have provided DREAMers a path to citizenship. The bill died in the Senate, however, because Republicans opposed to the bill used filibuster tactics. ",Dems did nothing on DACA,no,https://twitter.com/realDonaldTrump/status/962398269593784321,Democrats,Immigration,Congress,,Twitter,,,,
1138,2-10-2018,Twitter,"""The Dems had all three branches of government back in 2008-2011...""","Leaving aside the fact that Trump is describing the House of Representatives, the Senate and the White House as ""three branches"" -- the House and Senate are part of one branch, the legislative branch -- it is inaccurate that the Democrats controlled the House, Senate and White House over this period. Democrats took control of these three entities in 2009; Republican George W. Bush was in charge through 2008. (Also, Democrats surrendered control of the House just three days into 2011. It's more accurate to say Democrats had control of all three in 2009 and 2010.)",Democrats 2008 to 2011,no,https://twitter.com/realDonaldTrump/status/962398269593784321,Democrats,Congress,,,Twitter,,,,
1137,2-6-2018,Roundtable on MS-13,"""MS-13 recruits through our broken immigration system, violating our borders. And it just comes right through -- whenever they want to come through, they come through.""","More than 415,000 people were apprehended trying to illegally cross the border from Mexico in the 2017 fiscal year, according to U.S. government statistics. It is not true that gang members can simply waltz in whenever they choose to do so.",MS-13 waltz in,no,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-law-enforcement-roundtable-ms-13/,Crime,Immigration,Exaggeration,MS-13,Informal remarks at events,,,,
1136,2-6-2018,Roundtable on MS-13,"""This is after, actually, removing thousands of them (MS-13 members) out -- some into the prisons -- but literally thousands of people are removed out. But they come back as fast as we take them out. Different ones -- not even the same ones -- different ones. But they come back.""","""Literally thousands"" is an exaggeration. The acting director of Immigration and Customs Enforcement, Thomas Homan, said in December that ""a renewed focus on ID'ing & dismantling the ultra-violent MS-13 gang led to nearly 800 arrests in (fiscal year) 2017, for an 83 per cent increase over last year."" That figure is disputed, as some of the people arrested may not be actual members of the gang. Even if they are, though, that is far from ""thousands and thousands and thousands."" In November, Attorney General Jeff Sessions claimed the U.S. had ""worked with our partners in Central America to arrest and charge some 4,000 MS-13 members."" But those additional arrests were made abroad; the people arrested were not deported from the U.S. or put in U.S. prisons.",Thousands of MS-13,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-law-enforcement-roundtable-ms-13/,Immigration,Crime,Exaggeration,MS-13,Informal remarks at events,,,,
1135,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""Your taxes are going way down. And right now, for the first time in a long time -- and you've seen it -- factories are coming back. Everything is coming back.""","It is obviously an exaggeration to claim that ""everything is coming back."" It is also false that this is the ""first time in a long time"" that ""factories are coming back."" While automotive manufacturers, among others, have, under Trump, announced new plants and major investments in existing plants, they also did so under Obama. In 2015, for example, Volvo announced that it would open its first U.S. car plant, in South Carolina. ""Construction has now begun on the factory site, which will be capable of producing up to 100,000 cars per year,"" the company announced in 2015. GM announced in 2013 that it would invest $1.2 billion to upgrade an Indiana truck plant, while Ford announced in 2015 that it would invest $1.3 billion to upgrade a Kentucky truck plant. ",Car companies didn't open plants,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Economy,Jobs,Exaggeration,,Speeches,,,,
1134,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""And something that I've been talking about for two years -- campaigning, and everyone said, you'll never do it. After years of wage stagnation, wages -- you saw what happened two days ago and a month ago -- wages are now, for the first time in many years, rising.""","Wages have been rising since 2014. As PolitiFact reported: ""For much of the time between 2012 and 2014, median weekly earnings were lower than they were in 1979 -- a frustrating disappearance of any wage growth for 35 years. But that began changing in 2014. After hitting a low of $330 a week in early 2014, wages have risen to $354 a week by early 2017. That's an increase of 7.3 percent over a roughly three-year period."" FactCheck.org reported: ""For all private workers, average weekly earnings (adjusted for inflation) rose 4% during Obama's last four years in office.""",Wages haven't increased,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Economy,Jobs,,,Speeches,,,,
1133,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""Apple announced a $350 billion investment in America...And believe me, the reason it's happening is because of what we did.""","Apple is not investing $350 billion ""because of"" Trump's tax cuts. The company's January press release announced, rather, that a combination of new investments and spending it had already planned prior to the tax cuts would total $350 billion over five years -- and it said that this pre-planned spending amounted to $55 billion for 2018. In other words, Apple was already on pace, prior to the tax cuts, to spend approximately $275 billion of the $350 billion it described in the announcement. Chief executive Tim Cook told ABC: ""Let me be clear: there are large parts of this that are a result of the tax reform, and there's large parts of this that we would have done in any situation."" Here's the direct quote from the Apple press release: ""Combining new investments and Apple's current pace of spending with domestic suppliers and manufacturers -- an estimated $55 billion for 2018 -- Apple's direct contribution to the US economy will be more than $350 billion over the next five years, not including Apple's ongoing tax payments, the tax revenues generated from employees' wages and the sale of Apple products.",Apple 350 billion,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Jobs,Economy,Taxes,,Speeches,,,,
1132,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""Fiat Chrysler announced 2,500 jobs are coming back to Detroit -- to Motor City. Two thousand five hundred. And do you know where they're coming from? Mexico. No, think of it...But Chrysler, leaving Mexico, coming back to Motor City with a massive plant.""","Trump could have accurately said that Chrysler is ""shifting some production from Mexico,"" or something of the sort. It is not accurate, though, to say that Chrysler is ""leaving"" Mexico. The company announced that it is moving the production of its Ram truck from a plant in Saltillo, Mexico to a plant in Michigan -- but it said there would be no layoffs in Mexico and that the Mexican plant would be ""repurposed"" to production of other vehicles. ",Chrysler leaving Mexico,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Mexico,Economy,Jobs,,Speeches,,,,
1131,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""But Chrysler, leaving Mexico, coming back to Motor City with a massive plant. I mean, you haven't heard that in -- how many years would you say, (Republican senator) Rob (Portman)? Thirty? Twenty-five?""","Chrysler is not ""leaving"" Mexico; rather, it is shifting production of one truck from Mexico to an existing plant in Michigan -- precisely what Ford did in 2015, less than three years prior. In that case, Ford shifted production of the Ford F-650 and F-750 medium-duty trucks from Mexico to an existing plant in the very state where Trump was speaking, a facility in Avon Lake, Ohio. ""As part of the production shift, Ford is investing $168 million to retool the Cleveland-area plant for the new medium-duty trucks,"" the company announced in 2014.",Ohio hasn't seen shift from Mexico,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Economy,Mexico,,,Speeches,,,,
1130,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""So we've gone from being one of the highest-taxed countries anywhere in the world to being one of the most competitive because when our workers have a level playing field, which they didn't have, they can compete and win against anyone in the world.""","The U.S. was not even close to the highest-taxed country in the world even before Trump's tax cut passed. While its corporate tax rate was near the top, it was below the average of developed OECD countries when other taxes are included.",Highest tax,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Economy,Exaggeration,Taxes,,Speeches,,,,
1129,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""And the ones that don't want security at the southern border or any other border, are the Democrats. They don't care about the security of our country. They don't care about MS-13 killers pouring into our country. And we bring them out almost as fast as they come in. But nobody was bringing them out before us. And these are killers.""","Leaving aside the claim that Democrats do not care about border security in general or the MS-13 gang in particular, it is inaccurate that ""nobody was bringing them out before us."" A spokesperson for Immigration and Customs Enforcement told the Washington Post that ICE deported 2,057 gang members in the 2016 fiscal year, the last full fiscal year of Obama's tenure. While ICE deported 5,962 people in the 2017 fiscal year, a hefty increase, it is clearly not true that Trump's predecessors were not doing these deportations at all, as Trump suggested. (ICE told the Post that it did not track deportations by specific gang in either the Obama era or Trump era; it is safe to assume that a minority of the gang members deported in each year belonged to MS-13. ICE told the Post that 432 MS-13 members were arrested in fiscal 2016, 796 in fiscal 2017.)",Nobody was deporting MS-13 before,no,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Immigration,Crime,MS-13,,Speeches,,,,
1128,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""Our children are being decimated. You know, one drug dealer can kill thousands of people. One drug dealer. If you ever did an average -- nobody has ever seen this, you've probably never heard this before -- but if you ever did an average, a drug dealer will kill thousands of people. And we don't even come down on these people. So it's time to start, and that time is now. Right now.""","Stefan Kertesz, a doctor and a professor at the University of Alabama at Birmingham who studies addiction, takes issue with the word ""kill"": ""Drug dealers do not typically go out to find people and force fentanyl into them. They sell to willing purchasers, many of whom have considerable tolerance to opioids,"" he said in an email. Leaving that aside, Trump's claim that each drug dealer kills ""thousands"" of people on average is obviously false. ""While the number of overdose events that included opioids (among other substances) was high in the U.S. last year, the number of dealer arrests is quite a bit higher. So as a matter of arithemetics it probably is not the case that any single dealer has caused thousands of deaths,"" Kertesz said. According to federal data crunched by the group Common Sense for Drug Policy, there were 182,048 arrests for the sale or manufacture of drugs in 2016; the U.S. government says that about 64,000 people died of drug overdoses that year. Not all of the 182,048 people arrested for sale or manufacture can be called ""drug dealers,"" but it is clearly not true that the typical drug dealer kills thousands of people.",One drug dealer kills thousands,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Opioid epidemic,Exaggeration,,,Speeches,,,,
1127,2-5-2018,"Speech on tax reform in Blue Ash, Ohio","""The energy costs are going down. Like, other countries, they're going up.""","U.S. energy costs are rising. The U.S. government's Energy Information Administration announced in September: ""First half of 2017 average electricity prices are higher than last year in most areas of the country, with only six states experiencing lower prices...Some of the early 2017 increase in residential electricity prices can be attributed to the rising costs of fuels used for generating power. For example, the cost of natural gas delivered to U.S. electric generators during the first half of 2017 averaged $3.53 per million British thermal units. This cost was 37% higher than in the first half of 2016...""",Energy costs reducing,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-4/,Energy,,,,Speeches,,,,
1126,2-5-2018,Twitter,"""The Democrats are pushing for Universal HealthCare while thousands of people are marching in the UK because their U system is going broke and not working.""","This mischaracterizes the health-care march in London. The marchers did not argue that the British system, which is widely popular in the U.K., was ""going broke""; they argued that it was being underfunded by austerity measures imposed by the Conservative government. (One paragraph in The Guardian read: ""Ralf Little, the actor who has challenged health secretary Jeremy Hunt to a public debate on the health service, was cheered when he told the crowd that the NHS was the envy of the world. He had previously told how his mother was saved by NHS treatment for free when she suffered a stroke. Little said the quality of the NHS was threatened by underfunding. 'It's a political choice to leave patients sleeping in corridors,' he said."") Trump was suggesting that the British marchers were marching to oppose the system while they were actually marching to protect it.",UK health march,no,https://twitter.com/realDonaldTrump/status/960486144818450432,Health care,United Kingdom,,,Twitter,,,,
1125,2-3-2018,Twitter,"""Great jobs numbers and finally, after many years, rising wages- and nobody even talks about them.""","Wages have been rising since 2014. As PolitiFact reported: ""For much of the time between 2012 and 2014, median weekly earnings were lower than they were in 1979 -- a frustrating disappearance of any wage growth for 35 years. But that began changing in 2014. After hitting a low of $330 a week in early 2014, wages have risen to $354 a week by early 2017. That's an increase of 7.3 percent over a roughly three-year period."" The recent acceleration of wage growth under Trump has received extensive media coverage.",Wages haven't increased,Yes,https://twitter.com/realDonaldTrump/status/959946200488271872 ,Economy,Jobs,,,Twitter,,,,
1124,2-3-2018,Twitter,"""This memo totally vindicates 'Trump' in probe. But the Russian Witch Hunt goes on and on. Their was no Collusion and there was no Obstruction (the word now used because, after one year of looking endlessly and finding NOTHING, collusion is dead). This is an American disgrace!""","Trump was not ""vindicate(d)"" by the Republican memo that alleged FBI wrongdoing in one part of its investigation into the Trump campaign's links to Russia. Even if one were to believe the memo in its entirety -- even though the FBI says there are ""material omissions of fact that fundamentally impact the memo's accuracy"" -- the partisan document does not prove that there was no collusion between the campaign or the Russian government, or that Trump did not attempt to obstruct justice. At best, for Trump, it suggests that the FBI may have been misleading, by omission, when it asked a court for a warrant to conduct surveillance on a former Trump campaign adviser (Carter Page) who had already left the campaign. The investigation, now being led by special counsel Robert Mueller, is much broader. ""I actually don't think (the memo) has any impact on the Russia probe,"" Republican Rep. Trey Gowdy, who described himself as ""pretty integrally involved"" in drafting the memo, told CBS two days after Trump's tweet. He continued: ""To the extent the memo deals with the dossier and the (intelligence surveillance court) process, the dossier has nothing to do with the meeting at Trump Tower. The dossier has nothing to do with an email sent by Cambridge Analytica. The dossier really has nothing to do with George Papadopoulos' meeting in Great Britain. It also doesn't have anything to do with obstruction of justice."" As Gowdy was suggesting, the question of Trump campaign collusion with the Russian government is far from ""dead."" Mueller's probe remains active; Mueller, of course, has already secured guilty pleas from two officials from Trump's campaign, Papadopoulos and Michael Flynn, for lying to the FBI about their interactions with Russians.",Vindicated by memo,no,https://twitter.com/realDonaldTrump/status/959798743842349056,Russian ties,,,,Twitter,,,,
1123,2-2-2018,Remarks in meeting with North Korean escapees,"""We have a very special group of people with us today. These are escapees from North Korea. There have been many of them over the last year, and there seems to be more and more.""","Trump qualified this claim with ""seems to be,"" but it is wildly incorrect. According to data released by South Korea's Unification Ministry in January, the number of defectors in 2017 was the lowest since Kim Jong Un took power in 2011, the Korea Herald reported; at 1,127, it was down 21 per cent from the year prior. Analysts attributed the decline to a tightening of surveillance and border security by Kim.",North Korean escapees up,no,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-meeting-north-korean-defectors/,North Korea,Exaggeration,,,Informal remarks at events,,,,
1122,2-1-2018,Speech to Republican member conference,"""As I said the other night, we are a nation that built the Empire State Building in one year. Actually, to be exact, it was -- we built it in less than a year. Would you believe it?""","We'd let Trump with getting away with saying the Empire State Building was built in ""one year,"" even though that ignores the pre-construction planning process. But "" less than one year,"" Trump's ad-libbed exaggeration, is objectively false: the construction took 13 months.",Empire State building,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-house-senate-republican-member-conference/ ,Economy,Exaggeration,,,Speeches,,,,
1121,2-1-2018,Speech to Republican member conference,"""Because of our tax cuts, Apple is investing $350 billion in the United States...And this would have never happened without us and the work you've done.""","Apple is not investing $350 billion ""because of"" Trump's tax cuts. The company's January press release announced, rather, that its combination of new investments and spending it had already planned prior to the tax cuts would total $350 billion over five years -- and it said that this pre-planned spending amounted to $55 billion for 2018. In other words, Apple was already on pace, prior to the tax cuts, to spend approximately $275 billion of the $350 billion it described in the announcement. Here's the direct quote from the press release: ""Combining new investments and Apple's current pace of spending with domestic suppliers and manufacturers -- an estimated $55 billion for 2018 -- Apple's direct contribution to the US economy will be more than $350 billion over the next five years, not including Apple's ongoing tax payments, the tax revenues generated from employees' wages and the sale of Apple products.""",Apple 350 billion,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-house-senate-republican-member-conference/ ,Jobs,Economy,Taxes,,Speeches,,,,
1120,2-1-2018,Speech to Republican member conference,"""Already, since the election, we've created 2.4 million jobs. That's unthinkable.""","We'll let Trump get away with saying ""we've"" created those jobs even though he is taking credit for jobs added during the final three months of Obama's tenure. It is false, however, to claim that the addition of 2.4 million jobs between Nov. 2016 and Dec. 2017 is ""unthinkable"": that is actually below the number of jobs created in the years prior. Over the 14-month period immediately previous to the 14-month period Trump was talking about, 2.9 million jobs were created -- all under Obama, of course. Between Nov. 2014 and Dec. 2015, a 14-month period covering the same months as the ones Trump was talking about, 3.3 million jobs were created.",2.4 million jobs unthinkable,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-house-senate-republican-member-conference/ ,Jobs,Economy,,,Speeches,,,,
1119,2-1-2018,Speech to Republican member conference,"""Unemployment claims are at a 45-year low, which is something.""","We let Trump get away with saying, in his State of the Union address, that ""unemployment claims have hit a 45-year low."" Unemployment claims did ""hit"" a 45-year low, 216,000, two weeks prior to the speech. But then they rose -- to 231,000 in the week for which data was released on Jan. 25 and 230,000 in the week for which data was released on Feb. 1, the day Trump gave this speech to a Republican conference. Neither of those figures was any kind of record. So it was false for Trump to say, in present tense, that unemployment claims ""are at"" a 45-year low.",Unemployment record low,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-house-senate-republican-member-conference/ ,Economy,Jobs,,,Speeches,,,,
1118,2-1-2018,Speech to Republican member conference,"""After years of wage stagnation, we are finally seeing rising wages.""","Wages have been rising since 2014. As PolitiFact reported: ""For much of the time between 2012 and 2014, median weekly earnings were lower than they were in 1979 -- a frustrating disappearance of any wage growth for 35 years. But that began changing in 2014. After hitting a low of $330 a week in early 2014, wages have risen to $354 a week by early 2017. That's an increase of 7.3 percent over a roughly three-year period."" The recent acceleration of wage growth under Trump has received extensive media coverage.",Wages haven't increased,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-house-senate-republican-member-conference/ ,Economy,Jobs,,,Speeches,,,,
1117,2-1-2018,Speech to Republican member conference,"""We can reduce the price of prescription drugs and ensure that terminally ill patients have a right to try. So important -- right to try.  You know, those drugs, they sit in there for 12, 13, 14 years. And a person is terminally ill, they have two months left, and under the old system they don't want to give them even an experimental medicine because they're afraid they're going to be hurt. Well, they're not going to be around for two months. So they'll sign a waiver, and we're going to give them the hope of finding something.""","The Trump-appointed head of the Food and Drug Administration, Scott Gottlieb, testified to Congress in October 2017 that the FDA has granted 99 per cent of the requests it has received to get access to unapproved drugs. This figure was confirmed by the Government Accountability Office earlier in the year: ""Of the nearly 5,800 expanded access requests that were submitted to FDA from fiscal year 2012 through 2015, FDA allowed 99 per cent to proceed,"" the GAO wrote in a July 2017 report. ""FDA typically responded to emergency single-patient requests within hours and other types of requests within the allotted 30 days."" Critics have argued that the process can still be cumbersome and should be made smoother, and there is opposition from various quarters to the ""right to try"" legislation Trump was touting -- but Trump was exaggerating when he said ""they don't want to give them"" the medication.",Don't want to let them experimental,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-2018-house-senate-republican-member-conference/ ,Health care,,,,Speeches,,,,
1116,2-1-2018,Twitter,"""Thank you for all of the nice compliments and reviews on the State of the Union speech. 45.6 million people watched, the highest number in history.""","That is not the highest number in history. As PolitiFact reported: ""Trump came in sixth in total State of the Union viewers since Nielsen began collecting the data in 1993. George W. Bush garnered 62 million viewers in 2003; Bill Clinton 53 million in 1998; W. Bush 51.8 million in 2002; Obama 48 million in 2010; and Clinton 45.8 million in 1994. The ranking is even lower when we also count first addresses to the Joint Sessions of Congress...Including those addresses, Trump's State of the Union ranks ninth, outdone by his own first address to the Joint Sessions of Congress, which had 47.7 million viewers. Clinton ranks first with 66.9 viewers in 1993, and Obama's 2009 address had 53.2 million viewers.""",Most viewers for State of the Union,no,https://twitter.com/realDonaldTrump/status/959034299222843394 ,Speeches,State of the Union,,,Twitter,,,,
1115,1-31-2018,Remarks at tax reform meeting with workers,"""We also have massive investments coming in, like Apple -- $350 billion.""","There is not a $350 billion Apple investment ""coming in."" The company's January press release announced, rather, that its combination of new investments and spending it had previously planned would total $350 billion over five years -- and it specified that it had previously planned $55 billion in spending for 2018. In other words, Apple was already on pace to spend approximately $275 billion of the $350 billion it described in the announcement. Here's the direct quote from the press release: ""Combining new investments and Apple's current pace of spending with domestic suppliers and manufacturers -- an estimated $55 billion for 2018 -- Apple's direct contribution to the US economy will be more than $350 billion over the next five years, not including Apple's ongoing tax payments, the tax revenues generated from employees' wages and the sale of Apple products.",Apple 350 billion,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-meeting-american-workers/,Taxes,Economy,Jobs,,Informal remarks at events,,,,
1114,1-31-2018,Remarks at tax reform meeting with workers,"""And a lot of people don't talk about it, and yet I think it's going to be, maybe, most impactful of anything -- including bringing, perhaps, $4 trillion back.""","Trump's ""$4 trillion"" estimate for the amount of corporate profits parked overseas is unsupported by any experts. The U.S. Joint Committee on Taxation released an estimate of $2.6 trillion in August 2016, and experts said they were not aware of a massive jump in the following 12 months. An October 2017 report from the Institute on Taxation and Economic Policy (ITEP) also pegged the number at $2.6 trillion, while Goldman Sachs pegged it at $3.1 trillion the same month. ""There's no world in which it's $4 trillion,"" ITEM senior policy analyst Richard Phillips said in November. ""I do not know of anyone who increased the estimate so much recently,"" Steven Rosenthal, a senior fellow at the Tax Policy Center, said in August. ""Like many things, I assume he made this up on the fly,"" said another expert on the subject, who requested anonymity, when Trump made an estimate of $5 trillion in August.",Offshore profits,Yes,https://www.whitehouse.gov/briefings-statements/remarks-president-trump-tax-reform-meeting-american-workers/,Taxes,Exaggeration,,,Informal remarks at events,,,,
1113,1-30-2018,State of the Union address,"""Under the current broken system, a single immigrant can bring in virtually unlimited numbers of distant relatives.""","Distant relatives like cousins cannot be sponsored by citizens and permanent residents (""green card holders"") for family-reunification immigration, what Trump means when he refers to ""chain migration."" In fact, not even grandparents or uncles can be sponsored. Opponents of the family reunification system note that individuals brought in through sponsorships can eventually sponsor their own parents, siblings and children. But this is not the same thing as the original sponsor bringing in distant relatives. Further, the total number of people who can enter the country through family unification is limited by annual caps that create extremely long wait times. As the Center for Immigration Studies, a think tank that seeks to reduce immigration, noted in 2015: ""More than half of the waiting list (in family-based immigration categories) is comprised of about 2.5 million people who have been sponsored by a sibling who is a U.S. citizen. These applicants must wait at least 13 years for their application to be adjudicated. The largest number (30 per cent) are citizens of Mexico, and the wait for them is just over 18 years.""",Unlimited relatives,no,http://time.com/5125174/trump-state-of-the-union-address-transcript/,Immigration,State of the Union,,,Speeches,,,,
1112,1-30-2018,State of the Union address,"""The fourth and final pillar protects the nuclear family by ending chain migration.""","This is simple nonsense. There is no reasonable argument that the ""nuclear family"" would be protected if Trump no longer allowed people to sponsor family members, such as children and parents, to immigrate to the U.S.",Protect the nuclear family,no,http://time.com/5125174/trump-state-of-the-union-address-transcript/,Immigration,State of the Union,,,Speeches,,,,
1111,1-30-2018,State of the Union address,"""The third pillar (of my immigration plan) ends the visa lottery, a program that randomly hands out green cards without any regard for skill, merit, or the safety of American people.""","The lottery is indeed random, but Trump goes too far when he says green cards are handed out without any regard for safety. Each person who wins the lottery has to go through an application process that includes an interview and a background check. Also, there is at least a basic skill-related criteria: anyone accepted for a green card must be either a high school graduate or have two years of work experience, in an occupation that requires at least two years of training or experience and is on a list of occupations created by the U.S. government.",Visa lottery no safety,no,http://time.com/5125174/trump-state-of-the-union-address-transcript/,Immigration,Terrorism,State of the Union,,Speeches,,,,
1110,1-30-2018,State of the Union address,"""Apple has just announced it plans to invest a total of $350 billion in America, and hire another 20,000 workers.""","Apple did announce a ""$350 billion"" figure -- but the company, unlike Trump, made a point of separating its actual investment from its pre-existing spending. Its January press release made clear that the new investment is only a fraction of the total. It said: ""Combining new investments and Apple's current pace of spending with domestic suppliers and manufacturers -- an estimated $55 billion for 2018 -- Apple's direct contribution to the US economy will be more than $350 billion over the next five years."" In other words, Apple's pre-existing 2018 spending would have put it on track for $275 billion in spending over five years if maintained.",Apple 350 billion,Yes,http://time.com/5125174/trump-state-of-the-union-address-transcript/,Economy,Jobs,Taxes,State of the Union,Speeches,,,,
1109,1-30-2018,State of the Union address,"""Very soon, auto plants and other plants will be opening up all over our country. This is all news Americans are totally unaccustomed to hearing. For many years, companies and jobs were only leaving us. But now they are roaring back.""","It is not true that ""companies and jobs were only leaving us"" prior to the Trump era. ""Expenditures by foreign direct investors to acquire, establish, or expand U.S. businesses totaled $373.4 billion in 2016,"" the last year of Obama's tenure, the U.S. government's Bureau of Economic Analysis reported. Nor is there evidence that companies and jobs are ""roaring back."" Job growth in 2017, two million, was worse than in every year since 2010, and outsourcing continues. In November 2017, a labour group called Good Jobs Nation released a study that found ""93,449 jobs have been certified by the Department of Labor as lost to trade competition or corporate outsourcing since Trump's election,"" a total ""higher than the average job loss rate of 87,576 for the preceding five years."" The study also found: ""Since Trump was elected, major federal contractors have been certified as shipping 10,269 American jobs abroad.""",Jobs were only leaving before,no,http://time.com/5125174/trump-state-of-the-union-address-transcript/,Economy,Jobs,State of the Union,,Speeches,,,,
